texto de servidor 1Tue 01 Dec 2020 11:49:57 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:49:57 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.437 ms Tue 01 Dec 2020 11:49:57 AM EST: Tue 01 Dec 2020 11:49:57 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:49:57 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:49:57 AM EST: rtt min/avg/max/mdev = 0.437/0.437/0.437/0.000 ms
Tue 01 Dec 2020 11:50:01 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:50:01 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.320 ms Tue 01 Dec 2020 11:50:01 AM EST: Tue 01 Dec 2020 11:50:01 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:50:01 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:50:01 AM EST: rtt min/avg/max/mdev = 0.320/0.320/0.320/0.000 ms
Tue 01 Dec 2020 11:50:05 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:50:05 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.261 ms Tue 01 Dec 2020 11:50:05 AM EST: Tue 01 Dec 2020 11:50:05 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:50:05 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:50:05 AM EST: rtt min/avg/max/mdev = 0.261/0.261/0.261/0.000 ms
Tue 01 Dec 2020 11:50:44 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:50:44 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.263 ms Tue 01 Dec 2020 11:50:44 AM EST: Tue 01 Dec 2020 11:50:44 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:50:44 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:50:44 AM EST: rtt min/avg/max/mdev = 0.263/0.263/0.263/0.000 ms
Tue 01 Dec 2020 11:50:48 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:50:48 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.297 ms Tue 01 Dec 2020 11:50:48 AM EST: Tue 01 Dec 2020 11:50:48 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:50:48 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:50:48 AM EST: rtt min/avg/max/mdev = 0.297/0.297/0.297/0.000 ms
Tue 01 Dec 2020 11:50:52 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:50:52 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.298 ms Tue 01 Dec 2020 11:50:52 AM EST: Tue 01 Dec 2020 11:50:52 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:50:52 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:50:52 AM EST: rtt min/avg/max/mdev = 0.298/0.298/0.298/0.000 ms
Tue 01 Dec 2020 11:50:56 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:50:56 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.277 ms Tue 01 Dec 2020 11:50:56 AM EST: Tue 01 Dec 2020 11:50:56 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:50:56 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:50:56 AM EST: rtt min/avg/max/mdev = 0.277/0.277/0.277/0.000 ms
Tue 01 Dec 2020 11:51:00 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:51:00 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.258 ms Tue 01 Dec 2020 11:51:00 AM EST: Tue 01 Dec 2020 11:51:00 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:51:00 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:51:00 AM EST: rtt min/avg/max/mdev = 0.258/0.258/0.258/0.000 ms
Tue 01 Dec 2020 11:51:04 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:51:04 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.307 ms Tue 01 Dec 2020 11:51:04 AM EST: Tue 01 Dec 2020 11:51:04 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:51:04 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:51:04 AM EST: rtt min/avg/max/mdev = 0.307/0.307/0.307/0.000 ms
Tue 01 Dec 2020 11:51:08 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:51:08 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.293 ms Tue 01 Dec 2020 11:51:08 AM EST: Tue 01 Dec 2020 11:51:08 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:51:08 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:51:08 AM EST: rtt min/avg/max/mdev = 0.293/0.293/0.293/0.000 ms
Tue 01 Dec 2020 11:51:12 AM EST: PING 192.168.0.13 (192.168.0.13) 56(84) bytes of data. Tue 01 Dec 2020 11:51:12 AM EST: 64 bytes from 192.168.0.13: icmp_seq=1 ttl=128 time=0.294 ms Tue 01 Dec 2020 11:51:12 AM EST: Tue 01 Dec 2020 11:51:12 AM EST: --- 192.168.0.13 ping statistics --- Tue 01 Dec 2020 11:51:12 AM EST: 1 packets transmitted, 1 received, 0% packet loss, time 0ms Tue 01 Dec 2020 11:51:12 AM EST: rtt min/avg/max/mdev = 0.294/0.294/0.294/0.000 ms
