texto de servidor  2Tue 01 Dec 2020 11:50:00 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:50:00 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:50:00 AM EST: Tue 01 Dec 2020 11:50:00 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:50:00 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:50:00 AM EST:
Tue 01 Dec 2020 11:50:04 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:50:04 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:50:04 AM EST: Tue 01 Dec 2020 11:50:04 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:50:04 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:50:04 AM EST:
Tue 01 Dec 2020 11:50:47 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:50:47 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:50:47 AM EST: Tue 01 Dec 2020 11:50:47 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:50:47 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:50:47 AM EST:
Tue 01 Dec 2020 11:50:51 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:50:51 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:50:51 AM EST: Tue 01 Dec 2020 11:50:51 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:50:51 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:50:51 AM EST:
Tue 01 Dec 2020 11:50:55 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:50:55 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:50:55 AM EST: Tue 01 Dec 2020 11:50:55 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:50:55 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:50:55 AM EST:
Tue 01 Dec 2020 11:50:59 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:50:59 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:50:59 AM EST: Tue 01 Dec 2020 11:50:59 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:50:59 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:50:59 AM EST:
Tue 01 Dec 2020 11:51:03 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:51:03 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:51:03 AM EST: Tue 01 Dec 2020 11:51:03 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:51:03 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:51:03 AM EST:
Tue 01 Dec 2020 11:51:07 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:51:07 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:51:07 AM EST: Tue 01 Dec 2020 11:51:07 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:51:07 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:51:07 AM EST:
Tue 01 Dec 2020 11:51:11 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:51:11 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:51:11 AM EST: Tue 01 Dec 2020 11:51:11 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:51:11 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:51:11 AM EST:
Tue 01 Dec 2020 11:51:15 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:51:15 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:51:15 AM EST: Tue 01 Dec 2020 11:51:15 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:51:15 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:51:15 AM EST:
Tue 01 Dec 2020 11:51:20 AM EST: PING 192.168.0.22 (192.168.0.22) 56(84) bytes of data. Tue 01 Dec 2020 11:51:20 AM EST: From 192.168.0.23 icmp_seq=1 Destination Host Unreachable Tue 01 Dec 2020 11:51:20 AM EST: Tue 01 Dec 2020 11:51:20 AM EST: --- 192.168.0.22 ping statistics --- Tue 01 Dec 2020 11:51:20 AM EST: 1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms Tue 01 Dec 2020 11:51:20 AM EST:
